Peak load,Operating reverse,Taipei,Taichung,Kaohsiung,day
28730,3131,19.2,19.1,21.7,4
28476,3298,21.6,19.3,22.4,5
25342,3851,19.9,19.1,22.6,6
24842,3091,15.7,17,20.5,7
28647,3157,16.3,17.1,20.1,1
28801,3412,17.7,18.4,21.5,2
28431,3386,18.2,17.8,20.6,3
28714,3005,19.6,19.1,21.7,4
28186,3399,15.9,17.3,20.1,5
26068,3160,14.6,16.2,18.6,6
25322,3334,14.8,16.9,19.7,7
27970,3183,15.9,17.2,20,1
27517,3259,18.3,17.9,21.3,2
25748,3887,20.8,20.9,23.7,3
23531,3344,21.6,22.5,25,4
21543,3483,21.3,21.3,24.3,5
21022,3551,20.2,20.7,22.4,6
21174,3528,17.8,17.8,21.1,7
21710,3704,14.7,16.6,20.1,1
22817,3653,14,14.6,17.1,2
23984,3304,12,13.5,16.9,3
26323,2991,11.9,12.6,15.6,4
26714,3361,12,13,16.3,5
25211,3890,13.9,14.4,18,6
24816,3247,17.7,16.4,19.6,7
27960,4088,17.9,17.5,20.2,1
28443,3302,17.1,16.8,20.7,2
28397,3643,16,17.7,20.6,3
28482,3347,19.4,18.3,20.1,4
28275,3767,16.7,17.9,20.7,5
25630,3660,16.2,17,19.7,6
25150,3084,14.9,16.1,19.6,7
28283,3146,16.9,17.7,20.1,1
28663,3219,19.2,19.2,21.2,2
28533,3348,21.5,21.9,24.1,3
29094,3246,22.3,22.6,25,4
29199,3123,21.7,22.7,25.6,5
27770,2996,22.9,23.8,26.6,6
25062,3985,14.3,16.7,23.9,7
28300,3744,11.8,13.1,15.9,1
28426,4249,13.9,14.9,18.1,2
28374,3564,18,16,19.6,3
28613,3132,18,17.8,20.7,4
28527,3138,20.8,18.2,21.8,5
26047,3674,19,19.5,21.9,6
25064,3739,19.4,20.6,22.3,7
28827,3010,23.1,20.8,22.9,1
29196,3124,23.5,23,24.9,2
29467,3167,23.1,23.5,25.1,3
28368,4253,19.4,21.8,24.1,4
26356,3286,21.9,21.7,24.2,5
25677,2806,22.7,23.4,25.1,6
24986,3321,21.2,23.3,25.2,7
28557,3295,17.6,20.9,23.4,1
29183,3106,20.4,21.9,24.1,2
28858,3758,18.3,21.1,24.4,3
28608,3518,14.8,16.8,21.7,4
28569,3179,20,20.1,22.7,5
26182,3712,21.8,23.3,24.9,6
25557,3379,23.4,23,25.5,7
29653,3209,23.9,25.6,26,1
28591,3931,17.9,21,24.4,2
28531,3255,17.8,20,22.5,3
29348,3002,20.8,21.8,25.1,4
29165,3098,19.6,22.9,26.1,5
25802,3826,16.3,17.9,21.3,6
24837,3493,17.6,18.9,20.9,7
27984,4820,19.7,20.5,22.3,1
28753,4143,21.5,21.7,23.1,2
29118,4153,21,21.8,23.9,3
29389,3085,20.4,22.2,25.3,4
29030,3700,21.7,22.8,25.1,5
26635,3020,24.9,24.2,25.1,6
26088,3086,25.8,25.8,26,7
29372,3771,21.5,24.9,26.3,1
29470,4125,21.9,23.9,25.9,2
30038,3577,25,24.7,25.9,3
30842,3187,27,26.6,27.7,4
31260,3264,24.8,26.7,28.2,5
25893,4066,18.4,21.7,26,6
25152,3489,17.8,20.6,22.8,7
28716,3508,20.2,22.1,26,1
29162,3322,21,24,26.4,2
28278,4095,18,21.9,26.1,3
25443,4108,19.1,20.6,23.7,4
25120,3749,20.2,21.4,24.5,5
24238,4414,18.1,20.5,24.9,6
24347,4249,17.7,18.5,23.5,7
28246,4054,18.3,18.2,22.1,1
28108,4037,17.2,19.1,22.6,2
28246,3364,19,20.9,22.9,3
28285,3678,20.2,22.6,24.9,4
